Letter	LetterHits	DoubleLetter	DoubleLetterHits
a	115506	a	10620
k	66276	k	8514
o	54786	l	7502
n	65867	u	7074
e	68481	t	10880
s	74917	e	2130
l	58791	i	6187
i	117513	s	3782
t	86995	r	1029
u	66959	m	1712
j	13108	ä	4152
ä	31976	n	4344
r	39779	b	22
y	21659	d	21
m	29939	o	1157
h	21760	f	91
p	30524	g	25
g	2666	y	2144
v	24381	p	2914
d	7451	ö	117
ö	7333	c	7
-	1186	h	13
b	1549	z	21
c	266	W	5
f	1680		
A	8		
I	22		
D	13		
S	5		
 	275		
à	3		
z	77		
w	74		
ž	9		
é	11		
x	26		
q	21		
B	1		
š	67		
C	12		
R	12		
O	9		
M	4		
â	1		
è	4		
î	1		
ê	1		
á	2		
N	2		
E	8		
ô	1		
P	15		
U	5		
H	18		
V	21		
T	9		
J	2		
'	17		
K	7		
L	8		
Y	4		
4	4		
û	1		
W	10		
X	1		
å	1		
Ä	1		
Ö	1		
