Number	Words	First Letter	Last Letter	Length		Notes
1	aakkonen	a	n	8		
2	aakkosellinen	a	n	13		
3	aakkosellisesti	a	i	15		
4	aakkosellisuus	a	s	14		
5	aakkosittain	a	n	12		
6	aakkosjärjestys	a	s	15		
7	aakkosnumeerinen	a	n	16		
8	aakkostaa	a	a	9		
9	aakkosto	a	o	8		
10	aakkostus	a	s	9		
11	aalloittain	a	n	11		
12	aalloittainen	a	n	13		
13	aalloittaisuus	a	s	14		
14	aallokas	a	s	8		
15	aallokko	a	o	8		
16	aallonharja	a	a	11		
17	aallonmurtaja	a	a	13		
18	aallonpituus	a	s	12		
19	aallonpohja	a	a	11		
20	aallota	a	a	7		
21	aallotar	a	r	8		
22	aallottaa	a	a	9		
23	aallotus	a	s	8		
24	aaloe	a	e	5		
25	aalto	a	o	5		
26	aaltoallas	a	s	10		
27	aaltoalue	a	e	9		
28	aaltoenergia	a	a	12		
29	aaltoilla	a	a	9		
30	aaltoilu	a	u	8		
31	aaltoinen	a	n	9		
32	aaltolevy	a	y	9		
33	aaltoliike	a	e	10		
34	aaltopahvi	a	i	10		
35	aaltopelti	a	i	10		
36	aaltopituus	a	s	11		
37	aaltosulje	a	e	10		
38	aaltosulku	a	u	10		
39	aaltosulkumerkki	a	i	16		
40	aaltoviiva	a	a	10		
41	aaltovoimala	a	a	12		
42	aamen	a	n	5		
43	aamiainen	a	n	9		
44	aamiaismajoitus	a	s	15		
45	aamiaistapaaminen	a	n	17		
46	aamiaistunti	a	i	12		
47	aamu	a	u	4		
48	aamuaskare	a	e	10		
49	aamuateria	a	a	10		
50	aamuhartaus	a	s	11		
51	aamuhämärä	a	ä	10		
52	aamuinen	a	n	8		
53	aamuisin	a	n	8		
54	aamujumalanpalvelus	a	s	19		
55	aamujuna	a	a	8		
56	aamukahdeksan	a	n	13		
57	aamukahvi	a	i	9		
58	aamukampa	a	a	9		
59	aamukaste	a	e	9		
60	aamukylmä	a	ä	9		
61	aamulehti	a	i	9		
62	aamulenkki	a	i	10		
63	aamullinen	a	n	10		
64	aamulypsy	a	y	9		
65	aamulähetys	a	s	11		
66	aamulämpö	a	ö	9		
67	aamunavaus	a	s	10		
68	aamunkoite	a	e	10		
69	aamunkoitto	a	o	11		
70	aamunraikas	a	s	11		
71	aamunsarastus	a	s	13		
72	aamuntorkku	a	u	11		
73	aamunvirkku	a	u	11		
74	aamupahoinvointi	a	i	16		
75	aamupala	a	a	8		
76	aamupesu	a	u	8		
77	aamupuoli	a	i	9		
78	aamupäivisin	a	n	12		
79	aamupäivä	a	ä	9		
80	aamurusko	a	o	9		
81	aamuruuhka	a	a	10		
82	aamusella	a	a	9		
83	aamutakki	a	i	9		
84	aamutohveli	a	i	11		
85	aamutorkku	a	u	10		
86	aamutossu	a	u	9		
87	aamutuimaan	a	n	11		
88	aamutähti	a	i	9		
89	aamu-uninen	a	n	11		
90	aamu-unisuus	a	s	12		
91	aamu-uutiset	a	t	12		
92	aamuvarhain	a	n	11		
93	aamuvarhainen	a	n	13		
94	aamuvartio	a	o	10		
95	aamuvirkku	a	u	10		
96	aamuvoimistelu	a	u	14		
97	aamuvuoro	a	o	9		
98	aamuyö	a	ö	6		
99	aapa	a	a	4		
100	aapasuo	a	o	7		
101	aapinen	a	n	7		
102	aapiskirja	a	a	10		
103	aapiskukko	a	o	10		
104	aaprotti	a	i	8		
105	aari	a	i	4		
106	aaria	a	a	5		
107	aarnialue	a	e	9		
108	aarnihauta	a	a	10		
109	aarnihonka	a	a	10		
110	aarnikotka	a	a	10		
111	aarnio	a	o	6		
112	aarnio	a	o	6		duplicate
113	aarniohauta	a	a	11		
114	aarniometsä	a	ä	11		
115	aarnipuu	a	u	8		
116	aarnituli	a	i	9		
117	aarnivalkea	a	a	11		
118	aaroninparta	a	a	12		
119	aarpora	a	a	7		
120	aarre	a	e	5		
121	aarreaitta	a	a	10		
122	aarrehauta	a	a	10		
123	aarrekammio	a	o	11		
124	aarrekätkö	a	ö	10		
125	aarrelöytö	a	ö	10		
126	aarretuli	a	i	9		
127	aarrevalkea	a	a	11		
128	aarteenetsijä	a	ä	13		
129	aarteisto	a	o	9		
130	aasi	a	i	4		
131	aasialainen	a	n	11		
132	aasialaisuus	a	s	12		
133	aasimainen	a	n	10		
134	aasimaisesti	a	i	12		
135	aasimaisuus	a	s	11		
136	aasinpotku	a	u	10		
137	aasinsilta	a	a	10		
138	aatami	a	i	6		
139	aataminaikainen	a	n	15		
140	aataminomena	a	a	12		
141	aataminpuku	a	u	11		
142	aate	a	e	4		
143	aatehistoria	a	a	12		
144	aatekilpailu	a	u	12		
145	aateli	a	i	6		
146	aatelinen	a	n	9		
147	aatelisarvo	a	o	11		
148	aatelisherra	a	a	12		
149	aateliskalenteri	a	i	16		
150	aatelisnenä	a	ä	11		
151	aatelissuku	a	u	11		
152	aatelissääty	a	y	12		
153	aatelisto	a	o	9		
154	aatelisuus	a	s	10		
155	aatelisvaakuna	a	a	14		
156	aateliton	a	n	9		
157	aateloida	a	a	9		
158	aatelointi	a	i	10		
159	aateluus	a	s	8		
160	aatemaailma	a	a	11		
161	aaterakennelma	a	a	14		
162	aatesisar	a	r	9		
163	aatesuunta	a	a	10		
164	aatetoveri	a	i	10		
165	aateveli	a	i	8		
166	aatevirtaus	a	s	11		
167	aatonaatto	a	o	10		
168	aatos	a	s	5		
169	aatra	a	a	5		
170	aatteellinen	a	n	12		
171	aatteellisesti	a	i	14		
172	aatteellisuus	a	s	13		
173	aatteinen	a	n	9		
174	aatto	a	o	5		
175	aattoilta	a	a	9		
176	aava	a	a	4		
177	aavameri	a	i	8		
178	aave	a	e	4		
179	aavejuna	a	a	8		
180	aavekipu	a	u	8		
181	aavelaiva	a	a	9		
182	aavemainen	a	n	10		
183	aavemaisesti	a	i	12		
184	aavemaisuus	a	s	11		
185	aavikko	a	o	7		
186	aavikoitua	a	a	10		
187	aavistaa	a	a	8		
188	aavistamaton	a	n	12		
189	aavistella	a	a	10		
190	aavistuksenomainen	a	n	18		
191	aavistus	a	s	8		
192	aavistuslähtö	a	ö	13		
193	abatsi	a	i	6		
194	abbedissa	a	a	9		
195	abessiivi	a	i	9		
196	abi	a	i	3		
197	abiturientti	a	i	12		
198	ablatiivi	a	i	9		
199	abnormi	a	i	7		
200	abnormius	a	s	9		
201	abo	a	o	3		
202	aboriginaali	a	i	12		
203	abortoida	a	a	9		
204	abortointi	a	i	10		
205	abortti	a	i	7		
206	aborttipilleri	a	i	14		
207	aborttitabletti	a	i	15		
208	abrakadabra	a	a	11		
209	absessi	a	i	7		
210	absintti	a	i	8		
211	abskissa	a	a	8		
212	absolutismi	a	i	11		
213	absolutisti	a	i	11		
214	absoluutti	a	i	10		
215	absoluuttinen	a	n	13		
216	absoluuttisesti	a	i	15		
217	absoluuttisuus	a	s	14		
218	absorboida	a	a	10		
219	absorbointi	a	i	11		
220	absorboitua	a	a	11		
221	absorptio	a	o	9		
222	abstinenssi	a	i	11		
223	abstinenssioire	a	e	15		
224	abstrahoida	a	a	11		
225	abstrahointi	a	i	12		
226	abstrahoitua	a	a	12		
227	abstrakti	a	i	9		
228	abstraktinen	a	n	12		
229	abstraktio	a	o	10		
230	abstraktisesti	a	i	14		
231	abstraktistaa	a	a	13		
232	abstraktisti	a	i	12		
233	abstraktistua	a	a	13		
234	abstraktisuus	a	s	13		
235	abstraktius	a	s	11		
236	absurdi	a	i	7		
237	absurdisti	a	i	10		
238	absurdius	a	s	9		
239	acajoupähkinä	a	ä	13		
240	adagio	a	o	6		
241	adaptaatio	a	o	10		
242	adapteri	a	i	8		
243	adaptoida	a	a	9		
244	adaptointi	a	i	10		
245	adaptoitua	a	a	10		
246	addikti	a	i	7		
247	addiktio	a	o	8		
248	adekvaatisti	a	i	12		
249	adekvaatti	a	i	10		
250	adekvaattius	a	s	12		
251	adenokarsinooma	a	a	15		
252	adenooma	a	a	8		
253	adenovirus	a	s	10		
254	adessiivi	a	i	9		
255	adheesio	a	o	8		
256	adjektiivi	a	i	10		
257	adjektiivinen	a	n	13		
258	adjektiivisesti	a	i	15		
259	adjektiivisuus	a	s	14		
260	adjutantti	a	i	10		
261	adjuvanttihoito	a	o	15		
262	adonis	a	s	6		
263	adoptio	a	o	7		
264	adoptiolapsi	a	i	12		
265	adoptoida	a	a	9		
266	adoptointi	a	i	10		
267	adrenaliini	a	i	11		
268	adressi	a	i	7		
269	adsorboida	a	a	10		
270	adsorbointi	a	i	11		
271	adsorboitua	a	a	11		
272	adsorptio	a	o	9		
273	adsukipapu	a	u	10		
274	adventismi	a	i	10		
275	adventisti	a	i	10		
276	adventti	a	i	8		
277	adventtiaika	a	a	12		
278	adventtikalenteri	a	i	17		
279	adventtikirkko	a	o	14		
280	adventtiseurakunta	a	a	18		
281	adventtisunnuntai	a	i	17		
282	adverbi	a	i	7		
283	adverbiaali	a	i	11		
284	adverbiaalinen	a	n	14		
285	adverbiaalisesti	a	i	16		
286	adverbiaalisuus	a	s	15		
287	adverbinen	a	n	10		
288	adverbisesti	a	i	12		
289	adverbisuus	a	s	11		
290	adversatiivinen	a	n	15		
291	adversatiivisesti	a	i	17		
292	adversatiivisuus	a	s	16		
293	aerobic	a	c	7		
294	aerobikata	a	a	10		
295	aerobikkaaja	a	a	12		
296	aerobikkaus	a	s	11		
297	aerobikki	a	i	9		
298	aerobinen	a	n	9		
299	aerobiologia	a	a	12		
300	aerobiologinen	a	n	14		
301	aerodynaaminen	a	n	14		
302	aerodynaamisesti	a	i	16		
303	aerodynamiikka	a	a	14		
304	aerosoli	a	i	8		
305	afaatikko	a	o	9		
306	afaattinen	a	n	10		
307	afasia	a	a	6		
308	affekti	a	i	7		
309	affektihäiriö	a	ö	13		
310	affektiivinen	a	n	13		
311	affektiivisesti	a	i	15		
312	affektiivisuus	a	s	14		
313	affektinen	a	n	10		
314	affektisesti	a	i	12		
315	affektisuus	a	s	11		
316	affisio	a	o	7		
317	affisioida	a	a	10		
318	afgaani	a	i	7		
319	afgaaninvinttikoira	a	a	19		
320	aforismi	a	i	8		
321	aforismikokoelma	a	a	16		
322	aforistinen	a	n	11		
323	afrikaans	a	s	9		
324	afrikandi	a	i	9		
325	afrikkalainen	a	n	13		
326	afrikkalaisuus	a	s	14		
327	afro	a	o	4		
328	afroaasialainen	a	n	15		
329	afroamerikkalainen	a	n	18		
330	afrokampaus	a	s	11		
331	afrokommunismi	a	i	14		
332	afta	a	a	4		
333	afääri	a	i	6		
334	agaatti	a	i	7		
335	agaave	a	e	6		
336	agar	a	r	4		
337	agar-agar	a	r	9		
338	agenda	a	a	6		
339	agentti	a	i	7		
340	agenttifilmi	a	i	12		
341	agenttiromaani	a	i	14		
342	agentuuri	a	i	9		
343	agentuuriliike	a	e	14		
344	aggregaatti	a	i	11		
345	aggressiivinen	a	n	14		
346	aggressiivisesti	a	i	16		
347	aggressiivisuus	a	s	15		
348	aggressio	a	o	9		
349	agitaatio	a	o	9		
350	agitaattori	a	i	11		
351	agitatorinen	a	n	12		
352	agitoida	a	a	8		
353	agitointi	a	i	9		
354	agnostikko	a	o	10		
